Time,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16
0,198,74,47,495,458,732,826,568,492,856,561,680,803,513,85,925
0.5,769,1022,2,590,742,737,571,436,736,1016,422,505,611,817,444,534
1.0,850,525,555,331,580,212,592,328,1000,93,608,680,227,437,965,935
1.5,740,790,212,421,1,964,879,805,394,163,746,74,1016,575,746,589
2.0,31,580,48,40,669,130,228,450,242,381,556,201,906,386,342,688
2.5,782,864,135,821,548,644,434,601,854,869,302,810,644,30,302,90
3.0,31,268,735,401,296,453,509,762,527,154,1022,496,1009,132,68,706
3.5,637,563,798,337,94,285,210,613,648,489,702,888,43,197,669,819
4.0,767,98,226,905,977,109,887,934,389,921,667,914,831,117,437,311
4.5,547,128,77,286,228,568,226,878,801,524,776,656,158,311,111,196
5.0,324,373,425,67,854,292,175,301,730,404,665,950,857,730,91,417
5.5,755,22,698,917,161,924,603,137,434,392,791,419,221,169,118,370
6.0,724,269,239,412,593,144,1009,31,989,593,786,783,122,279,767,413
6.5,487,978,849,917,499,886,357,302,498,762,521,189,48,181,615,495
7.0,218,513,587,929,7,782,361,301,183,975,751,722,647,17,939,839
7.5,99,236,352,986,250,32,216,579,792,597,909,205,991,132,470,990
8.0,998,942,121,85,507,171,212,441,787,251,485,308,898,798,41,301
8.5,842,944,359,916,238,894,373,494,574,80,853,692,68,920,889,290
9.0,421,485,251,546,25,558,13,591,273,246,740,869,127,510,570,754
9.5,372,67,736,491,772,219,574,722,222,918,816,827,395,645,674,313
10.0,514,547,690,24,645,19,437,728,737,485,22,619,842,704,503,725
10.5,357,925,808,519,280,97,291,872,121,280,673,148,955,117,582,964
11.0,348,198,888,656,80,149,228,237,668,423,486,267,408,253,296,912
11.5,848,316,961,993,780,339,112,101,268,35,840,164,235,8,365,471
12.0,386,705,490,81,11,410,883,706,199,835,515,211,939,84,845,986
12.5,988,286,490,19,506,51,683,670,493,668,546,793,204,599,145,394
13.0,616,603,139,230,817,374,143,823,46,414,152,262,5,231,316,533
13.5,386,966,346,514,734,812,337,691,667,437,19,149,949,257,774,904
14.0,249,330,11,143,733,991,806,188,617,646,521,689,220,1003,731,815
14.5,128,837,616,75,249,466,493,547,161,145,873,598,192,181,330,838
15.0,130,119,286,647,396,524,434,30,506,613,636,745,708,725,505,61
15.5,294,402,266,451,477,651,651,157,944,38,674,266,263,20,541,466
16.0,435,210,575,550,106,909,453,907,547,688,743,657,959,320,732,1018
